Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_gather,MEM,"[('MEM', [(491520, 3)])]",[],[],"[(491520, 3)]","(491520, 3)"
env_gather,MEM,"[('MEM', [(4096, 120, 3)])]",[],[],"[(4096, 120, 3)]","(4096, 120, 3)"
env_diff_norm,VECadd,"[('VECadd', (491520, 3))]",[],[],"[(491520, 3), (491520, 3)]","(491520, 3)"
env_inv_r,VECmul,"[('VECmul', (491520, 4))]",[],[],"[(491520, 4)]","(491520, 4)"
env_smooth_weight,VECmul,"[('VECmul', (491520, 1))]",[],[],"[(491520, 1)]","(491520, 1)"
env_mat_mul,VECmul,"[('VECmul', (491520, 4))]",[],[],"[(491520, 4), (491520, 1)]","(491520, 4)"
env_normalize,VECadd,"[('VECadd', (491520, 4))]",[],[],"[(491520, 4), (491520, 4)]","(491520, 4)"
emb_t0_linear_0,Linear,"[('Linear', (491520, 1, 25))]",[],[],"[(491520, 1)]","(491520, 25)"
emb_t0_act_0,VECtanh,"[('VECtanh', (491520, 25))]",[],[],"[(491520, 25)]","(491520, 25)"
emb_t0_linear_1,Linear,"[('Linear', (491520, 25, 50))]",[],[],"[(491520, 25)]","(491520, 50)"
emb_t0_act_1,VECtanh,"[('VECtanh', (491520, 50))]",[],[],"[(491520, 50)]","(491520, 50)"
emb_t0_concat_1,MEM,"[('MEM', [(491520, 50)])]",[],[],"[(491520, 25)]","(491520, 50)"
emb_t0_res_1,VECadd,"[('VECadd', (491520, 50))]",[],[],"[(491520, 50), (491520, 50)]","(491520, 50)"
emb_t0_linear_2,Linear,"[('Linear', (491520, 50, 100))]",[],[],"[(491520, 50)]","(491520, 100)"
emb_t0_act_2,VECtanh,"[('VECtanh', (491520, 100))]",[],[],"[(491520, 100)]","(491520, 100)"
emb_t0_concat_2,MEM,"[('MEM', [(491520, 100)])]",[],[],"[(491520, 50)]","(491520, 100)"
emb_t0_res_2,VECadd,"[('VECadd', (491520, 100))]",[],[],"[(491520, 100), (491520, 100)]","(491520, 100)"
emb_t0_matmul,BMM,"[('BMM', (4096, 4, 120, 100))]",[],[],"[(4096, 120, 4), (4096, 120, 100)]","(4096, 4, 100)"
desc_normalize,VECmul,"[('VECmul', (4096, 400))]",[],[],"[(4096, 400)]","(4096, 400)"
desc_final_matmul,BMM,"[('BMM', (4096, 100, 4, 16))]",[],[],"[(4096, 100, 4), (4096, 4, 16)]","(4096, 100, 16)"
desc_reshape,MEM,"[('MEM', [(4096, 1600)])]",[],[],"[(4096, 100, 16)]","(4096, 1600)"
fit_linear_0,Linear,"[('Linear', (4096, 1600, 240))]",[],[],"[(4096, 1600)]","(4096, 240)"
fit_act_0,VECtanh,"[('VECtanh', (4096, 240))]",[],[],"[(4096, 240)]","(4096, 240)"
fit_linear_1,Linear,"[('Linear', (4096, 240, 240))]",[],[],"[(4096, 240)]","(4096, 240)"
