Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_gather,MEM,"[('MEM', [(70656, 3)])]",[],[],"[(70656, 3)]","(70656, 3)"
env_gather,MEM,"[('MEM', [(512, 138, 3)])]",[],[],"[(512, 138, 3)]","(512, 138, 3)"
env_diff_norm,VECadd,"[('VECadd', (70656, 3))]",[],[],"[(70656, 3), (70656, 3)]","(70656, 3)"
env_inv_r,VECmul,"[('VECmul', (70656, 4))]",[],[],"[(70656, 4)]","(70656, 4)"
env_smooth_weight,VECmul,"[('VECmul', (70656, 1))]",[],[],"[(70656, 1)]","(70656, 1)"
env_mat_mul,VECmul,"[('VECmul', (70656, 4))]",[],[],"[(70656, 4), (70656, 1)]","(70656, 4)"
env_normalize,VECadd,"[('VECadd', (70656, 4))]",[],[],"[(70656, 4), (70656, 4)]","(70656, 4)"
emb_t0_linear_0,Linear,"[('Linear', (23552, 1, 25))]",[],[],"[(23552, 1)]","(23552, 25)"
emb_t0_act_0,VECtanh,"[('VECtanh', (23552, 25))]",[],[],"[(23552, 25)]","(23552, 25)"
emb_t0_linear_1,Linear,"[('Linear', (23552, 25, 50))]",[],[],"[(23552, 25)]","(23552, 50)"
emb_t0_act_1,VECtanh,"[('VECtanh', (23552, 50))]",[],[],"[(23552, 50)]","(23552, 50)"
emb_t0_concat_1,MEM,"[('MEM', [(23552, 50)])]",[],[],"[(23552, 25)]","(23552, 50)"
emb_t0_res_1,VECadd,"[('VECadd', (23552, 50))]",[],[],"[(23552, 50), (23552, 50)]","(23552, 50)"
emb_t0_linear_2,Linear,"[('Linear', (23552, 50, 100))]",[],[],"[(23552, 50)]","(23552, 100)"
emb_t0_act_2,VECtanh,"[('VECtanh', (23552, 100))]",[],[],"[(23552, 100)]","(23552, 100)"
emb_t0_concat_2,MEM,"[('MEM', [(23552, 100)])]",[],[],"[(23552, 50)]","(23552, 100)"
emb_t0_res_2,VECadd,"[('VECadd', (23552, 100))]",[],[],"[(23552, 100), (23552, 100)]","(23552, 100)"
emb_t0_matmul,BMM,"[('BMM', (512, 4, 46, 100))]",[],[],"[(512, 46, 4), (512, 46, 100)]","(512, 4, 100)"
emb_t1_linear_0,Linear,"[('Linear', (47104, 1, 25))]",[],[],"[(47104, 1)]","(47104, 25)"
emb_t1_act_0,VECtanh,"[('VECtanh', (47104, 25))]",[],[],"[(47104, 25)]","(47104, 25)"
emb_t1_linear_1,Linear,"[('Linear', (47104, 25, 50))]",[],[],"[(47104, 25)]","(47104, 50)"
