Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_gather,MEM,"[('MEM', [(61440, 3)])]",[],[],"[(61440, 3)]","(61440, 3)"
env_gather,MEM,"[('MEM', [(1024, 60, 3)])]",[],[],"[(1024, 60, 3)]","(1024, 60, 3)"
env_diff_norm,VECadd,"[('VECadd', (61440, 3))]",[],[],"[(61440, 3), (61440, 3)]","(61440, 3)"
env_inv_r,VECmul,"[('VECmul', (61440, 4))]",[],[],"[(61440, 4)]","(61440, 4)"
env_smooth_weight,VECmul,"[('VECmul', (61440, 1))]",[],[],"[(61440, 1)]","(61440, 1)"
env_mat_mul,VECmul,"[('VECmul', (61440, 4))]",[],[],"[(61440, 4), (61440, 1)]","(61440, 4)"
env_normalize,VECadd,"[('VECadd', (61440, 4))]",[],[],"[(61440, 4), (61440, 4)]","(61440, 4)"
emb_t0_linear_0,Linear,"[('Linear', (61440, 1, 25))]",[],[],"[(61440, 1)]","(61440, 25)"
emb_t0_act_0,VECtanh,"[('VECtanh', (61440, 25))]",[],[],"[(61440, 25)]","(61440, 25)"
emb_t0_linear_1,Linear,"[('Linear', (61440, 25, 50))]",[],[],"[(61440, 25)]","(61440, 50)"
emb_t0_act_1,VECtanh,"[('VECtanh', (61440, 50))]",[],[],"[(61440, 50)]","(61440, 50)"
emb_t0_concat_1,MEM,"[('MEM', [(61440, 50)])]",[],[],"[(61440, 25)]","(61440, 50)"
emb_t0_res_1,VECadd,"[('VECadd', (61440, 50))]",[],[],"[(61440, 50), (61440, 50)]","(61440, 50)"
emb_t0_linear_2,Linear,"[('Linear', (61440, 50, 100))]",[],[],"[(61440, 50)]","(61440, 100)"
emb_t0_act_2,VECtanh,"[('VECtanh', (61440, 100))]",[],[],"[(61440, 100)]","(61440, 100)"
emb_t0_concat_2,MEM,"[('MEM', [(61440, 100)])]",[],[],"[(61440, 50)]","(61440, 100)"
emb_t0_res_2,VECadd,"[('VECadd', (61440, 100))]",[],[],"[(61440, 100), (61440, 100)]","(61440, 100)"
emb_t0_matmul,BMM,"[('BMM', (1024, 4, 60, 100))]",[],[],"[(1024, 60, 4), (1024, 60, 100)]","(1024, 4, 100)"
attn_L0_in_proj,Linear,"[('Linear', (61440, 100, 300))]",[],[],"[(61440, 100)]","(61440, 300)"
attn_L0_scores,BMM,"[('BMM', (1024, 60, 60, 100))]",[],[],"[(1024, 60, 100)]","(1024, 60, 60)"
attn_L0_softmax,VECsoftmax,"[('VECsoftmax', (61440, 60))]",[],[],"[(1024, 60, 60)]","(1024, 60, 60)"
attn_L0_output,BMM,"[('BMM', (1024, 60, 100, 60))]",[],[],"[(1024, 60, 60)]","(1024, 60, 100)"
attn_L0_out_proj,Linear,"[('Linear', (61440, 100, 100))]",[],[],"[(61440, 100)]","(61440, 100)"
attn_L0_residual,VECadd,"[('VECadd', (61440, 100))]",[],[],"[(61440, 100), (61440, 100)]","(61440, 100)"
attn_L1_in_proj,Linear,"[('Linear', (61440, 100, 300))]",[],[],"[(61440, 100)]","(61440, 300)"
attn_L1_scores,BMM,"[('BMM', (1024, 60, 60, 100))]",[],[],"[(1024, 60, 100)]","(1024, 60, 60)"
attn_L1_softmax,VECsoftmax,"[('VECsoftmax', (61440, 60))]",[],[],"[(1024, 60, 60)]","(1024, 60, 60)"
attn_L1_output,BMM,"[('BMM', (1024, 60, 100, 60))]",[],[],"[(1024, 60, 60)]","(1024, 60, 100)"
attn_L1_out_proj,Linear,"[('Linear', (61440, 100, 100))]",[],[],"[(61440, 100)]","(61440, 100)"
attn_L1_residual,VECadd,"[('VECadd', (61440, 100))]",[],[],"[(61440, 100), (61440, 100)]","(61440, 100)"
desc_normalize,VECmul,"[('VECmul', (1024, 400))]",[],[],"[(1024, 400)]","(1024, 400)"
desc_final_matmul,BMM,"[('BMM', (1024, 100, 4, 16))]",[],[],"[(1024, 100, 4), (1024, 4, 16)]","(1024, 100, 16)"
desc_reshape,MEM,"[('MEM', [(1024, 1600)])]",[],[],"[(1024, 100, 16)]","(1024, 1600)"
fit_linear_0,Linear,"[('Linear', (1024, 1600, 240))]",[],[],"[(1024, 1600)]","(1024, 240)"
fit_act_0,VECtanh,"[('VECtanh', (1024, 240))]",[],[],"[(1024, 240)]","(1024, 240)"
fit_linear_1,Linear,"[('Linear', (1024, 240, 240))]",[],[],"[(1024, 240)]","(1024, 240)"
fit_act_1,VECtanh,"[('VECtanh', (1024, 240))]",[],[],"[(1024, 240)]","(1024, 240)"
fit_res_1,VECadd,"[('VECadd', (1024, 240))]",[],[],"[(1024, 240), (1024, 240)]","(1024, 240)"
fit_linear_2,Linear,"[('Linear', (1024, 240, 240))]",[],[],"[(1024, 240)]","(1024, 240)"
fit_act_2,VECtanh,"[('VECtanh', (1024, 240))]",[],[],"[(1024, 240)]","(1024, 240)"
fit_res_2,VECadd,"[('VECadd', (1024, 240))]",[],[],"[(1024, 240), (1024, 240)]","(1024, 240)"
output_linear,Linear,"[('Linear', (1024, 240, 1))]",[],[],"[(1024, 240)]","(1024, 1)"
energy_sum,VECadd,"[('VECadd', (1024, 1))]",[],[],"[(1024, 1)]","(1,)"
