Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_gather,MEM,"[('MEM', [(245760, 3)])]",[],[],"[(245760, 3)]","(245760, 3)"
env_gather,MEM,"[('MEM', [(4096, 60, 3)])]",[],[],"[(4096, 60, 3)]","(4096, 60, 3)"
env_diff_norm,VECadd,"[('VECadd', (245760, 3))]",[],[],"[(245760, 3), (245760, 3)]","(245760, 3)"
env_inv_r,VECmul,"[('VECmul', (245760, 4))]",[],[],"[(245760, 4)]","(245760, 4)"
env_smooth_weight,VECmul,"[('VECmul', (245760, 1))]",[],[],"[(245760, 1)]","(245760, 1)"
env_mat_mul,VECmul,"[('VECmul', (245760, 4))]",[],[],"[(245760, 4), (245760, 1)]","(245760, 4)"
env_normalize,VECadd,"[('VECadd', (245760, 4))]",[],[],"[(245760, 4), (245760, 4)]","(245760, 4)"
emb_t0_linear_0,Linear,"[('Linear', (245760, 1, 25))]",[],[],"[(245760, 1)]","(245760, 25)"
emb_t0_act_0,VECtanh,"[('VECtanh', (245760, 25))]",[],[],"[(245760, 25)]","(245760, 25)"
emb_t0_linear_1,Linear,"[('Linear', (245760, 25, 50))]",[],[],"[(245760, 25)]","(245760, 50)"
emb_t0_act_1,VECtanh,"[('VECtanh', (245760, 50))]",[],[],"[(245760, 50)]","(245760, 50)"
emb_t0_concat_1,MEM,"[('MEM', [(245760, 50)])]",[],[],"[(245760, 25)]","(245760, 50)"
emb_t0_res_1,VECadd,"[('VECadd', (245760, 50))]",[],[],"[(245760, 50), (245760, 50)]","(245760, 50)"
emb_t0_linear_2,Linear,"[('Linear', (245760, 50, 100))]",[],[],"[(245760, 50)]","(245760, 100)"
emb_t0_act_2,VECtanh,"[('VECtanh', (245760, 100))]",[],[],"[(245760, 100)]","(245760, 100)"
emb_t0_concat_2,MEM,"[('MEM', [(245760, 100)])]",[],[],"[(245760, 50)]","(245760, 100)"
emb_t0_res_2,VECadd,"[('VECadd', (245760, 100))]",[],[],"[(245760, 100), (245760, 100)]","(245760, 100)"
emb_t0_matmul,BMM,"[('BMM', (4096, 4, 60, 100))]",[],[],"[(4096, 60, 4), (4096, 60, 100)]","(4096, 4, 100)"
attn_L0_in_proj,Linear,"[('Linear', (245760, 100, 300))]",[],[],"[(245760, 100)]","(245760, 300)"
attn_L0_scores,BMM,"[('BMM', (4096, 60, 60, 100))]",[],[],"[(4096, 60, 100)]","(4096, 60, 60)"
attn_L0_softmax,VECsoftmax,"[('VECsoftmax', (245760, 60))]",[],[],"[(4096, 60, 60)]","(4096, 60, 60)"
attn_L0_output,BMM,"[('BMM', (4096, 60, 100, 60))]",[],[],"[(4096, 60, 60)]","(4096, 60, 100)"
attn_L0_out_proj,Linear,"[('Linear', (245760, 100, 100))]",[],[],"[(245760, 100)]","(245760, 100)"
attn_L0_residual,VECadd,"[('VECadd', (245760, 100))]",[],[],"[(245760, 100), (245760, 100)]","(245760, 100)"
attn_L1_in_proj,Linear,"[('Linear', (245760, 100, 300))]",[],[],"[(245760, 100)]","(245760, 300)"
attn_L1_scores,BMM,"[('BMM', (4096, 60, 60, 100))]",[],[],"[(4096, 60, 100)]","(4096, 60, 60)"
attn_L1_softmax,VECsoftmax,"[('VECsoftmax', (245760, 60))]",[],[],"[(4096, 60, 60)]","(4096, 60, 60)"
attn_L1_output,BMM,"[('BMM', (4096, 60, 100, 60))]",[],[],"[(4096, 60, 60)]","(4096, 60, 100)"
attn_L1_out_proj,Linear,"[('Linear', (245760, 100, 100))]",[],[],"[(245760, 100)]","(245760, 100)"
