Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_diff,VECmul,"[('VECmul', (17664, 3))]",[],[],"[(17664, 3), (17664, 3)]","(17664, 3)"
nlist_dist,VECadd,"[('VECadd', (17664, 1))]",[],[],"[(17664, 3)]","(17664, 1)"
nlist_mask,MEM,"[('MEM', [(17664, 1)])]",[],[],"[(17664, 1)]","(17664, 1)"
env_matrix_gather,MEM,"[('MEM', [(128, 138, 4)])]",[],[],"[(17664, 3)]","(128, 138, 4)"
smooth_func,VECmul,"[('VECmul', (17664, 1))]",[],[],"[(17664, 1), (17664, 1)]","(17664, 1)"
emb_linear_0,Linear,"[('Linear', (17664, 1, 25))]",[],[],"[(17664, 1)]","(17664, 25)"
emb_act_0,VECtanh,"[('VECtanh', (17664, 25))]",[],[],"[(17664, 25)]","(17664, 25)"
emb_linear_1,Linear,"[('Linear', (17664, 25, 50))]",[],[],"[(17664, 25)]","(17664, 50)"
emb_act_1,VECtanh,"[('VECtanh', (17664, 50))]",[],[],"[(17664, 50)]","(17664, 50)"
emb_linear_2,Linear,"[('Linear', (17664, 50, 100))]",[],[],"[(17664, 50)]","(17664, 100)"
emb_act_2,VECtanh,"[('VECtanh', (17664, 100))]",[],[],"[(17664, 100)]","(17664, 100)"
desc_matmul_1,BMM,"[('BMM', (128, 100, 138, 4))]",[],[],"[(128, 138, 100)]","(128, 100, 4)"
desc_matmul_2,BMM,"[('BMM', (128, 4, 100, 16))]",[],[],"[(128, 4, 100)]","(128, 4, 16)"
desc_reshape,MEM,"[('MEM', [(128, 64)])]",[],[],"[(128, 4, 16)]","(128, 64)"
fit_linear_0,Linear,"[('Linear', (128, 64, 240))]",[],[],"[(128, 64)]","(128, 240)"
fit_act_0,VECtanh,"[('VECtanh', (128, 240))]",[],[],"[(128, 240)]","(128, 240)"
fit_linear_1,Linear,"[('Linear', (128, 240, 240))]",[],[],"[(128, 240)]","(128, 240)"
fit_act_1,VECtanh,"[('VECtanh', (128, 240))]",[],[],"[(128, 240)]","(128, 240)"
fit_residual_1,VECadd,"[('VECadd', (128, 240))]",[],[],"[(128, 240), (128, 240)]","(128, 240)"
fit_linear_2,Linear,"[('Linear', (128, 240, 240))]",[],[],"[(128, 240)]","(128, 240)"
fit_act_2,VECtanh,"[('VECtanh', (128, 240))]",[],[],"[(128, 240)]","(128, 240)"
fit_residual_2,VECadd,"[('VECadd', (128, 240))]",[],[],"[(128, 240), (128, 240)]","(128, 240)"
output_linear,Linear,"[('Linear', (128, 240, 1))]",[],[],"[(128, 240)]","(128, 1)"
energy_sum,VECadd,"[('VECadd', (128, 1))]",[],[],"[(128, 1)]","(1,)"
fit_bw_input_2,Linear,"[('Linear', (128, 240, 240))]",[],[],"[(128, 240)]","(128, 240)"
fit_bw_act_2,VECmul,"[('VECmul', (128, 240))]",[],[],"[(128, 240), (128, 240)]","(128, 240)"
fit_bw_input_1,Linear,"[('Linear', (128, 240, 240))]",[],[],"[(128, 240)]","(128, 240)"
fit_bw_act_1,VECmul,"[('VECmul', (128, 240))]",[],[],"[(128, 240), (128, 240)]","(128, 240)"
fit_bw_input_0,Linear,"[('Linear', (128, 240, 64))]",[],[],"[(128, 240)]","(128, 64)"
fit_bw_act_0,VECmul,"[('VECmul', (128, 240))]",[],[],"[(128, 240), (128, 240)]","(128, 240)"
output_bw,Linear,"[('Linear', (128, 1, 240))]",[],[],"[(128, 1)]","(128, 240)"
desc_bw_matmul,BMM,"[('BMM', (128, 138, 100, 4))]",[],[],"[(128, 100, 4)]","(128, 138, 100)"
emb_bw_input_2,Linear,"[('Linear', (17664, 100, 50))]",[],[],"[(17664, 100)]","(17664, 50)"
emb_bw_act_2,VECmul,"[('VECmul', (17664, 100))]",[],[],"[(17664, 100), (17664, 100)]","(17664, 100)"
emb_bw_input_1,Linear,"[('Linear', (17664, 50, 25))]",[],[],"[(17664, 50)]","(17664, 25)"
emb_bw_act_1,VECmul,"[('VECmul', (17664, 50))]",[],[],"[(17664, 50), (17664, 50)]","(17664, 50)"
emb_bw_input_0,Linear,"[('Linear', (17664, 25, 1))]",[],[],"[(17664, 25)]","(17664, 1)"
emb_bw_act_0,VECmul,"[('VECmul', (17664, 25))]",[],[],"[(17664, 25), (17664, 25)]","(17664, 25)"
