Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_gather,MEM,"[('MEM', [(17664, 3)])]",[],[],"[(17664, 3)]","(17664, 3)"
env_gather,MEM,"[('MEM', [(128, 138, 3)])]",[],[],"[(128, 138, 3)]","(128, 138, 3)"
env_diff_norm,VECadd,"[('VECadd', (17664, 3))]",[],[],"[(17664, 3), (17664, 3)]","(17664, 3)"
env_inv_r,VECmul,"[('VECmul', (17664, 4))]",[],[],"[(17664, 4)]","(17664, 4)"
env_smooth_weight,VECmul,"[('VECmul', (17664, 1))]",[],[],"[(17664, 1)]","(17664, 1)"
env_mat_mul,VECmul,"[('VECmul', (17664, 4))]",[],[],"[(17664, 4), (17664, 1)]","(17664, 4)"
env_normalize,VECadd,"[('VECadd', (17664, 4))]",[],[],"[(17664, 4), (17664, 4)]","(17664, 4)"
emb_t0_linear_0,Linear,"[('Linear', (5888, 1, 25))]",[],[],"[(5888, 1)]","(5888, 25)"
emb_t0_act_0,VECtanh,"[('VECtanh', (5888, 25))]",[],[],"[(5888, 25)]","(5888, 25)"
emb_t0_linear_1,Linear,"[('Linear', (5888, 25, 50))]",[],[],"[(5888, 25)]","(5888, 50)"
emb_t0_act_1,VECtanh,"[('VECtanh', (5888, 50))]",[],[],"[(5888, 50)]","(5888, 50)"
emb_t0_concat_1,MEM,"[('MEM', [(5888, 50)])]",[],[],"[(5888, 25)]","(5888, 50)"
emb_t0_res_1,VECadd,"[('VECadd', (5888, 50))]",[],[],"[(5888, 50), (5888, 50)]","(5888, 50)"
emb_t0_linear_2,Linear,"[('Linear', (5888, 50, 100))]",[],[],"[(5888, 50)]","(5888, 100)"
emb_t0_act_2,VECtanh,"[('VECtanh', (5888, 100))]",[],[],"[(5888, 100)]","(5888, 100)"
emb_t0_concat_2,MEM,"[('MEM', [(5888, 100)])]",[],[],"[(5888, 50)]","(5888, 100)"
emb_t0_res_2,VECadd,"[('VECadd', (5888, 100))]",[],[],"[(5888, 100), (5888, 100)]","(5888, 100)"
emb_t0_matmul,BMM,"[('BMM', (128, 4, 46, 100))]",[],[],"[(128, 46, 4), (128, 46, 100)]","(128, 4, 100)"
emb_t1_linear_0,Linear,"[('Linear', (11776, 1, 25))]",[],[],"[(11776, 1)]","(11776, 25)"
emb_t1_act_0,VECtanh,"[('VECtanh', (11776, 25))]",[],[],"[(11776, 25)]","(11776, 25)"
emb_t1_linear_1,Linear,"[('Linear', (11776, 25, 50))]",[],[],"[(11776, 25)]","(11776, 50)"
emb_t1_act_1,VECtanh,"[('VECtanh', (11776, 50))]",[],[],"[(11776, 50)]","(11776, 50)"
emb_t1_concat_1,MEM,"[('MEM', [(11776, 50)])]",[],[],"[(11776, 25)]","(11776, 50)"
emb_t1_res_1,VECadd,"[('VECadd', (11776, 50))]",[],[],"[(11776, 50), (11776, 50)]","(11776, 50)"
emb_t1_linear_2,Linear,"[('Linear', (11776, 50, 100))]",[],[],"[(11776, 50)]","(11776, 100)"
emb_t1_act_2,VECtanh,"[('VECtanh', (11776, 100))]",[],[],"[(11776, 100)]","(11776, 100)"
emb_t1_concat_2,MEM,"[('MEM', [(11776, 100)])]",[],[],"[(11776, 50)]","(11776, 100)"
emb_t1_res_2,VECadd,"[('VECadd', (11776, 100))]",[],[],"[(11776, 100), (11776, 100)]","(11776, 100)"
emb_t1_matmul,BMM,"[('BMM', (128, 4, 92, 100))]",[],[],"[(128, 92, 4), (128, 92, 100)]","(128, 4, 100)"
emb_t1_accum,VECadd,"[('VECadd', (128, 400))]",[],[],"[(128, 400), (128, 400)]","(128, 400)"
desc_normalize,VECmul,"[('VECmul', (128, 400))]",[],[],"[(128, 400)]","(128, 400)"
desc_final_matmul,BMM,"[('BMM', (128, 100, 4, 16))]",[],[],"[(128, 100, 4), (128, 4, 16)]","(128, 100, 16)"
desc_reshape,MEM,"[('MEM', [(128, 1600)])]",[],[],"[(128, 100, 16)]","(128, 1600)"
fit_linear_0,Linear,"[('Linear', (128, 1600, 240))]",[],[],"[(128, 1600)]","(128, 240)"
fit_act_0,VECtanh,"[('VECtanh', (128, 240))]",[],[],"[(128, 240)]","(128, 240)"
fit_linear_1,Linear,"[('Linear', (128, 240, 240))]",[],[],"[(128, 240)]","(128, 240)"
fit_act_1,VECtanh,"[('VECtanh', (128, 240))]",[],[],"[(128, 240)]","(128, 240)"
fit_res_1,VECadd,"[('VECadd', (128, 240))]",[],[],"[(128, 240), (128, 240)]","(128, 240)"
fit_linear_2,Linear,"[('Linear', (128, 240, 240))]",[],[],"[(128, 240)]","(128, 240)"
fit_act_2,VECtanh,"[('VECtanh', (128, 240))]",[],[],"[(128, 240)]","(128, 240)"
fit_res_2,VECadd,"[('VECadd', (128, 240))]",[],[],"[(128, 240), (128, 240)]","(128, 240)"
output_linear,Linear,"[('Linear', (128, 240, 1))]",[],[],"[(128, 240)]","(128, 1)"
energy_sum,VECadd,"[('VECadd', (128, 1))]",[],[],"[(128, 1)]","(1,)"
