Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_gather,MEM,"[('MEM', [(264960, 3)])]",[],[],"[(264960, 3)]","(264960, 3)"
env_gather,MEM,"[('MEM', [(1920, 138, 3)])]",[],[],"[(1920, 138, 3)]","(1920, 138, 3)"
env_diff_norm,VECadd,"[('VECadd', (264960, 3))]",[],[],"[(264960, 3), (264960, 3)]","(264960, 3)"
env_inv_r,VECmul,"[('VECmul', (264960, 4))]",[],[],"[(264960, 4)]","(264960, 4)"
env_smooth_weight,VECmul,"[('VECmul', (264960, 1))]",[],[],"[(264960, 1)]","(264960, 1)"
env_mat_mul,VECmul,"[('VECmul', (264960, 4))]",[],[],"[(264960, 4), (264960, 1)]","(264960, 4)"
env_normalize,VECadd,"[('VECadd', (264960, 4))]",[],[],"[(264960, 4), (264960, 4)]","(264960, 4)"
emb_t0_linear_0,Linear,"[('Linear', (88320, 1, 25))]",[],[],"[(88320, 1)]","(88320, 25)"
emb_t0_act_0,VECtanh,"[('VECtanh', (88320, 25))]",[],[],"[(88320, 25)]","(88320, 25)"
emb_t0_linear_1,Linear,"[('Linear', (88320, 25, 50))]",[],[],"[(88320, 25)]","(88320, 50)"
emb_t0_act_1,VECtanh,"[('VECtanh', (88320, 50))]",[],[],"[(88320, 50)]","(88320, 50)"
emb_t0_concat_1,MEM,"[('MEM', [(88320, 50)])]",[],[],"[(88320, 25)]","(88320, 50)"
emb_t0_res_1,VECadd,"[('VECadd', (88320, 50))]",[],[],"[(88320, 50), (88320, 50)]","(88320, 50)"
emb_t0_linear_2,Linear,"[('Linear', (88320, 50, 100))]",[],[],"[(88320, 50)]","(88320, 100)"
emb_t0_act_2,VECtanh,"[('VECtanh', (88320, 100))]",[],[],"[(88320, 100)]","(88320, 100)"
emb_t0_concat_2,MEM,"[('MEM', [(88320, 100)])]",[],[],"[(88320, 50)]","(88320, 100)"
emb_t0_res_2,VECadd,"[('VECadd', (88320, 100))]",[],[],"[(88320, 100), (88320, 100)]","(88320, 100)"
emb_t0_matmul,BMM,"[('BMM', (1920, 4, 46, 100))]",[],[],"[(1920, 46, 4), (1920, 46, 100)]","(1920, 4, 100)"
emb_t1_linear_0,Linear,"[('Linear', (176640, 1, 25))]",[],[],"[(176640, 1)]","(176640, 25)"
emb_t1_act_0,VECtanh,"[('VECtanh', (176640, 25))]",[],[],"[(176640, 25)]","(176640, 25)"
emb_t1_linear_1,Linear,"[('Linear', (176640, 25, 50))]",[],[],"[(176640, 25)]","(176640, 50)"
emb_t1_act_1,VECtanh,"[('VECtanh', (176640, 50))]",[],[],"[(176640, 50)]","(176640, 50)"
emb_t1_concat_1,MEM,"[('MEM', [(176640, 50)])]",[],[],"[(176640, 25)]","(176640, 50)"
emb_t1_res_1,VECadd,"[('VECadd', (176640, 50))]",[],[],"[(176640, 50), (176640, 50)]","(176640, 50)"
emb_t1_linear_2,Linear,"[('Linear', (176640, 50, 100))]",[],[],"[(176640, 50)]","(176640, 100)"
emb_t1_act_2,VECtanh,"[('VECtanh', (176640, 100))]",[],[],"[(176640, 100)]","(176640, 100)"
emb_t1_concat_2,MEM,"[('MEM', [(176640, 100)])]",[],[],"[(176640, 50)]","(176640, 100)"
emb_t1_res_2,VECadd,"[('VECadd', (176640, 100))]",[],[],"[(176640, 100), (176640, 100)]","(176640, 100)"
emb_t1_matmul,BMM,"[('BMM', (1920, 4, 92, 100))]",[],[],"[(1920, 92, 4), (1920, 92, 100)]","(1920, 4, 100)"
emb_t1_accum,VECadd,"[('VECadd', (1920, 400))]",[],[],"[(1920, 400), (1920, 400)]","(1920, 400)"
desc_normalize,VECmul,"[('VECmul', (1920, 400))]",[],[],"[(1920, 400)]","(1920, 400)"
desc_final_matmul,BMM,"[('BMM', (1920, 100, 4, 16))]",[],[],"[(1920, 100, 4), (1920, 4, 16)]","(1920, 100, 16)"
desc_reshape,MEM,"[('MEM', [(1920, 1600)])]",[],[],"[(1920, 100, 16)]","(1920, 1600)"
fit_linear_0,Linear,"[('Linear', (1920, 1600, 240))]",[],[],"[(1920, 1600)]","(1920, 240)"
fit_act_0,VECtanh,"[('VECtanh', (1920, 240))]",[],[],"[(1920, 240)]","(1920, 240)"
fit_linear_1,Linear,"[('Linear', (1920, 240, 240))]",[],[],"[(1920, 240)]","(1920, 240)"
fit_act_1,VECtanh,"[('VECtanh', (1920, 240))]",[],[],"[(1920, 240)]","(1920, 240)"
fit_res_1,VECadd,"[('VECadd', (1920, 240))]",[],[],"[(1920, 240), (1920, 240)]","(1920, 240)"
fit_linear_2,Linear,"[('Linear', (1920, 240, 240))]",[],[],"[(1920, 240)]","(1920, 240)"
fit_act_2,VECtanh,"[('VECtanh', (1920, 240))]",[],[],"[(1920, 240)]","(1920, 240)"
fit_res_2,VECadd,"[('VECadd', (1920, 240))]",[],[],"[(1920, 240), (1920, 240)]","(1920, 240)"
output_linear,Linear,"[('Linear', (1920, 240, 1))]",[],[],"[(1920, 240)]","(1920, 1)"
energy_sum,VECadd,"[('VECadd', (1920, 1))]",[],[],"[(1920, 1)]","(1,)"
output_bw,Linear,"[('Linear', (1920, 1, 240))]",[],[],"[(1920, 1)]","(1920, 240)"
fit_bw_input_2,Linear,"[('Linear', (1920, 240, 240))]",[],[],"[(1920, 240)]","(1920, 240)"
fit_bw_act_2,VECmul,"[('VECmul', (1920, 240))]",[],[],"[(1920, 240), (1920, 240)]","(1920, 240)"
fit_bw_input_1,Linear,"[('Linear', (1920, 240, 240))]",[],[],"[(1920, 240)]","(1920, 240)"
fit_bw_act_1,VECmul,"[('VECmul', (1920, 240))]",[],[],"[(1920, 240), (1920, 240)]","(1920, 240)"
fit_bw_input_0,Linear,"[('Linear', (1920, 240, 1600))]",[],[],"[(1920, 240)]","(1920, 1600)"
fit_bw_act_0,VECmul,"[('VECmul', (1920, 240))]",[],[],"[(1920, 240), (1920, 240)]","(1920, 240)"
desc_bw_matmul,BMM,"[('BMM', (1920, 100, 16, 4))]",[],[],"[(1920, 100, 16)]","(1920, 100, 4)"
emb_t0_bw_matmul,BMM,"[('BMM', (1920, 46, 4, 100))]",[],[],"[(1920, 4, 100)]","(1920, 46, 100)"
emb_t0_bw_input_2,Linear,"[('Linear', (88320, 100, 50))]",[],[],"[(88320, 100)]","(88320, 50)"
emb_t0_bw_act_2,VECmul,"[('VECmul', (88320, 100))]",[],[],"[(88320, 100), (88320, 100)]","(88320, 100)"
emb_t0_bw_input_1,Linear,"[('Linear', (88320, 50, 25))]",[],[],"[(88320, 50)]","(88320, 25)"
emb_t0_bw_act_1,VECmul,"[('VECmul', (88320, 50))]",[],[],"[(88320, 50), (88320, 50)]","(88320, 50)"
emb_t0_bw_input_0,Linear,"[('Linear', (88320, 25, 1))]",[],[],"[(88320, 25)]","(88320, 1)"
emb_t0_bw_act_0,VECmul,"[('VECmul', (88320, 25))]",[],[],"[(88320, 25), (88320, 25)]","(88320, 25)"
emb_t1_bw_matmul,BMM,"[('BMM', (1920, 92, 4, 100))]",[],[],"[(1920, 4, 100)]","(1920, 92, 100)"
emb_t1_bw_input_2,Linear,"[('Linear', (176640, 100, 50))]",[],[],"[(176640, 100)]","(176640, 50)"
emb_t1_bw_act_2,VECmul,"[('VECmul', (176640, 100))]",[],[],"[(176640, 100), (176640, 100)]","(176640, 100)"
emb_t1_bw_input_1,Linear,"[('Linear', (176640, 50, 25))]",[],[],"[(176640, 50)]","(176640, 25)"
emb_t1_bw_act_1,VECmul,"[('VECmul', (176640, 50))]",[],[],"[(176640, 50), (176640, 50)]","(176640, 50)"
emb_t1_bw_input_0,Linear,"[('Linear', (176640, 25, 1))]",[],[],"[(176640, 25)]","(176640, 1)"
emb_t1_bw_act_0,VECmul,"[('VECmul', (176640, 25))]",[],[],"[(176640, 25), (176640, 25)]","(176640, 25)"
