Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_diff,VECmul,"[('VECmul', (70656, 3))]",[],[],"[(70656, 3), (70656, 3)]","(70656, 3)"
nlist_dist,VECadd,"[('VECadd', (70656, 1))]",[],[],"[(70656, 3)]","(70656, 1)"
nlist_mask,MEM,"[('MEM', [(70656, 1)])]",[],[],"[(70656, 1)]","(70656, 1)"
env_matrix_gather,MEM,"[('MEM', [(512, 138, 4)])]",[],[],"[(70656, 3)]","(512, 138, 4)"
smooth_func,VECmul,"[('VECmul', (70656, 1))]",[],[],"[(70656, 1), (70656, 1)]","(70656, 1)"
emb_linear_0,Linear,"[('Linear', (70656, 1, 25))]",[],[],"[(70656, 1)]","(70656, 25)"
emb_act_0,VECtanh,"[('VECtanh', (70656, 25))]",[],[],"[(70656, 25)]","(70656, 25)"
emb_linear_1,Linear,"[('Linear', (70656, 25, 50))]",[],[],"[(70656, 25)]","(70656, 50)"
emb_act_1,VECtanh,"[('VECtanh', (70656, 50))]",[],[],"[(70656, 50)]","(70656, 50)"
emb_linear_2,Linear,"[('Linear', (70656, 50, 100))]",[],[],"[(70656, 50)]","(70656, 100)"
emb_act_2,VECtanh,"[('VECtanh', (70656, 100))]",[],[],"[(70656, 100)]","(70656, 100)"
desc_matmul_1,BMM,"[('BMM', (512, 100, 138, 4))]",[],[],"[(512, 138, 100)]","(512, 100, 4)"
desc_matmul_2,BMM,"[('BMM', (512, 4, 100, 16))]",[],[],"[(512, 4, 100)]","(512, 4, 16)"
desc_reshape,MEM,"[('MEM', [(512, 64)])]",[],[],"[(512, 4, 16)]","(512, 64)"
fit_linear_0,Linear,"[('Linear', (512, 64, 240))]",[],[],"[(512, 64)]","(512, 240)"
fit_act_0,VECtanh,"[('VECtanh', (512, 240))]",[],[],"[(512, 240)]","(512, 240)"
fit_linear_1,Linear,"[('Linear', (512, 240, 240))]",[],[],"[(512, 240)]","(512, 240)"
fit_act_1,VECtanh,"[('VECtanh', (512, 240))]",[],[],"[(512, 240)]","(512, 240)"
fit_residual_1,VECadd,"[('VECadd', (512, 240))]",[],[],"[(512, 240), (512, 240)]","(512, 240)"
fit_linear_2,Linear,"[('Linear', (512, 240, 240))]",[],[],"[(512, 240)]","(512, 240)"
fit_act_2,VECtanh,"[('VECtanh', (512, 240))]",[],[],"[(512, 240)]","(512, 240)"
fit_residual_2,VECadd,"[('VECadd', (512, 240))]",[],[],"[(512, 240), (512, 240)]","(512, 240)"
output_linear,Linear,"[('Linear', (512, 240, 1))]",[],[],"[(512, 240)]","(512, 1)"
energy_sum,VECadd,"[('VECadd', (512, 1))]",[],[],"[(512, 1)]","(1,)"
fit_bw_input_2,Linear,"[('Linear', (512, 240, 240))]",[],[],"[(512, 240)]","(512, 240)"
fit_bw_act_2,VECmul,"[('VECmul', (512, 240))]",[],[],"[(512, 240), (512, 240)]","(512, 240)"
fit_bw_input_1,Linear,"[('Linear', (512, 240, 240))]",[],[],"[(512, 240)]","(512, 240)"
fit_bw_act_1,VECmul,"[('VECmul', (512, 240))]",[],[],"[(512, 240), (512, 240)]","(512, 240)"
fit_bw_input_0,Linear,"[('Linear', (512, 240, 64))]",[],[],"[(512, 240)]","(512, 64)"
fit_bw_act_0,VECmul,"[('VECmul', (512, 240))]",[],[],"[(512, 240), (512, 240)]","(512, 240)"
output_bw,Linear,"[('Linear', (512, 1, 240))]",[],[],"[(512, 1)]","(512, 240)"
desc_bw_matmul,BMM,"[('BMM', (512, 138, 100, 4))]",[],[],"[(512, 100, 4)]","(512, 138, 100)"
emb_bw_input_2,Linear,"[('Linear', (70656, 100, 50))]",[],[],"[(70656, 100)]","(70656, 50)"
emb_bw_act_2,VECmul,"[('VECmul', (70656, 100))]",[],[],"[(70656, 100), (70656, 100)]","(70656, 100)"
emb_bw_input_1,Linear,"[('Linear', (70656, 50, 25))]",[],[],"[(70656, 50)]","(70656, 25)"
emb_bw_act_1,VECmul,"[('VECmul', (70656, 50))]",[],[],"[(70656, 50), (70656, 50)]","(70656, 50)"
emb_bw_input_0,Linear,"[('Linear', (70656, 25, 1))]",[],[],"[(70656, 25)]","(70656, 1)"
emb_bw_act_0,VECmul,"[('VECmul', (70656, 25))]",[],[],"[(70656, 25), (70656, 25)]","(70656, 25)"
