Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_gather,MEM,"[('MEM', [(393216, 3)])]",[],[],"[(393216, 3)]","(393216, 3)"
env_gather,MEM,"[('MEM', [(192, 2048, 3)])]",[],[],"[(192, 2048, 3)]","(192, 2048, 3)"
env_diff_norm,VECadd,"[('VECadd', (393216, 3))]",[],[],"[(393216, 3), (393216, 3)]","(393216, 3)"
env_inv_r,VECmul,"[('VECmul', (393216, 4))]",[],[],"[(393216, 4)]","(393216, 4)"
env_smooth_weight,VECmul,"[('VECmul', (393216, 1))]",[],[],"[(393216, 1)]","(393216, 1)"
env_mat_mul,VECmul,"[('VECmul', (393216, 4))]",[],[],"[(393216, 4), (393216, 1)]","(393216, 4)"
env_normalize,VECadd,"[('VECadd', (393216, 4))]",[],[],"[(393216, 4), (393216, 4)]","(393216, 4)"
emb_t0_linear_0,Linear,"[('Linear', (98304, 1, 16))]",[],[],"[(98304, 1)]","(98304, 16)"
emb_t0_act_0,VECtanh,"[('VECtanh', (98304, 16))]",[],[],"[(98304, 16)]","(98304, 16)"
emb_t0_linear_1,Linear,"[('Linear', (98304, 16, 32))]",[],[],"[(98304, 16)]","(98304, 32)"
emb_t0_act_1,VECtanh,"[('VECtanh', (98304, 32))]",[],[],"[(98304, 32)]","(98304, 32)"
emb_t0_concat_1,MEM,"[('MEM', [(98304, 32)])]",[],[],"[(98304, 16)]","(98304, 32)"
emb_t0_res_1,VECadd,"[('VECadd', (98304, 32))]",[],[],"[(98304, 32), (98304, 32)]","(98304, 32)"
emb_t0_linear_2,Linear,"[('Linear', (98304, 32, 64))]",[],[],"[(98304, 32)]","(98304, 64)"
emb_t0_act_2,VECtanh,"[('VECtanh', (98304, 64))]",[],[],"[(98304, 64)]","(98304, 64)"
emb_t0_concat_2,MEM,"[('MEM', [(98304, 64)])]",[],[],"[(98304, 32)]","(98304, 64)"
emb_t0_res_2,VECadd,"[('VECadd', (98304, 64))]",[],[],"[(98304, 64), (98304, 64)]","(98304, 64)"
emb_t0_matmul,BMM,"[('BMM', (192, 4, 512, 64))]",[],[],"[(192, 512, 4), (192, 512, 64)]","(192, 4, 64)"
emb_t1_linear_0,Linear,"[('Linear', (98304, 1, 16))]",[],[],"[(98304, 1)]","(98304, 16)"
emb_t1_act_0,VECtanh,"[('VECtanh', (98304, 16))]",[],[],"[(98304, 16)]","(98304, 16)"
emb_t1_linear_1,Linear,"[('Linear', (98304, 16, 32))]",[],[],"[(98304, 16)]","(98304, 32)"
emb_t1_act_1,VECtanh,"[('VECtanh', (98304, 32))]",[],[],"[(98304, 32)]","(98304, 32)"
emb_t1_concat_1,MEM,"[('MEM', [(98304, 32)])]",[],[],"[(98304, 16)]","(98304, 32)"
