Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_gather,MEM,"[('MEM', [(196608, 3)])]",[],[],"[(196608, 3)]","(196608, 3)"
env_gather,MEM,"[('MEM', [(96, 2048, 3)])]",[],[],"[(96, 2048, 3)]","(96, 2048, 3)"
env_diff_norm,VECadd,"[('VECadd', (196608, 3))]",[],[],"[(196608, 3), (196608, 3)]","(196608, 3)"
env_inv_r,VECmul,"[('VECmul', (196608, 4))]",[],[],"[(196608, 4)]","(196608, 4)"
env_smooth_weight,VECmul,"[('VECmul', (196608, 1))]",[],[],"[(196608, 1)]","(196608, 1)"
env_mat_mul,VECmul,"[('VECmul', (196608, 4))]",[],[],"[(196608, 4), (196608, 1)]","(196608, 4)"
env_normalize,VECadd,"[('VECadd', (196608, 4))]",[],[],"[(196608, 4), (196608, 4)]","(196608, 4)"
emb_t0_linear_0,Linear,"[('Linear', (49152, 1, 16))]",[],[],"[(49152, 1)]","(49152, 16)"
emb_t0_act_0,VECtanh,"[('VECtanh', (49152, 16))]",[],[],"[(49152, 16)]","(49152, 16)"
emb_t0_linear_1,Linear,"[('Linear', (49152, 16, 32))]",[],[],"[(49152, 16)]","(49152, 32)"
emb_t0_act_1,VECtanh,"[('VECtanh', (49152, 32))]",[],[],"[(49152, 32)]","(49152, 32)"
emb_t0_concat_1,MEM,"[('MEM', [(49152, 32)])]",[],[],"[(49152, 16)]","(49152, 32)"
emb_t0_res_1,VECadd,"[('VECadd', (49152, 32))]",[],[],"[(49152, 32), (49152, 32)]","(49152, 32)"
emb_t0_linear_2,Linear,"[('Linear', (49152, 32, 64))]",[],[],"[(49152, 32)]","(49152, 64)"
emb_t0_act_2,VECtanh,"[('VECtanh', (49152, 64))]",[],[],"[(49152, 64)]","(49152, 64)"
emb_t0_concat_2,MEM,"[('MEM', [(49152, 64)])]",[],[],"[(49152, 32)]","(49152, 64)"
emb_t0_res_2,VECadd,"[('VECadd', (49152, 64))]",[],[],"[(49152, 64), (49152, 64)]","(49152, 64)"
emb_t0_matmul,BMM,"[('BMM', (96, 4, 512, 64))]",[],[],"[(96, 512, 4), (96, 512, 64)]","(96, 4, 64)"
emb_t1_linear_0,Linear,"[('Linear', (49152, 1, 16))]",[],[],"[(49152, 1)]","(49152, 16)"
emb_t1_act_0,VECtanh,"[('VECtanh', (49152, 16))]",[],[],"[(49152, 16)]","(49152, 16)"
emb_t1_linear_1,Linear,"[('Linear', (49152, 16, 32))]",[],[],"[(49152, 16)]","(49152, 32)"
emb_t1_act_1,VECtanh,"[('VECtanh', (49152, 32))]",[],[],"[(49152, 32)]","(49152, 32)"
emb_t1_concat_1,MEM,"[('MEM', [(49152, 32)])]",[],[],"[(49152, 16)]","(49152, 32)"
emb_t1_res_1,VECadd,"[('VECadd', (49152, 32))]",[],[],"[(49152, 32), (49152, 32)]","(49152, 32)"
emb_t1_linear_2,Linear,"[('Linear', (49152, 32, 64))]",[],[],"[(49152, 32)]","(49152, 64)"
emb_t1_act_2,VECtanh,"[('VECtanh', (49152, 64))]",[],[],"[(49152, 64)]","(49152, 64)"
emb_t1_concat_2,MEM,"[('MEM', [(49152, 64)])]",[],[],"[(49152, 32)]","(49152, 64)"
emb_t1_res_2,VECadd,"[('VECadd', (49152, 64))]",[],[],"[(49152, 64), (49152, 64)]","(49152, 64)"
emb_t1_matmul,BMM,"[('BMM', (96, 4, 512, 64))]",[],[],"[(96, 512, 4), (96, 512, 64)]","(96, 4, 64)"
emb_t1_accum,VECadd,"[('VECadd', (96, 256))]",[],[],"[(96, 256), (96, 256)]","(96, 256)"
emb_t2_linear_0,Linear,"[('Linear', (49152, 1, 16))]",[],[],"[(49152, 1)]","(49152, 16)"
emb_t2_act_0,VECtanh,"[('VECtanh', (49152, 16))]",[],[],"[(49152, 16)]","(49152, 16)"
emb_t2_linear_1,Linear,"[('Linear', (49152, 16, 32))]",[],[],"[(49152, 16)]","(49152, 32)"
emb_t2_act_1,VECtanh,"[('VECtanh', (49152, 32))]",[],[],"[(49152, 32)]","(49152, 32)"
emb_t2_concat_1,MEM,"[('MEM', [(49152, 32)])]",[],[],"[(49152, 16)]","(49152, 32)"
emb_t2_res_1,VECadd,"[('VECadd', (49152, 32))]",[],[],"[(49152, 32), (49152, 32)]","(49152, 32)"
emb_t2_linear_2,Linear,"[('Linear', (49152, 32, 64))]",[],[],"[(49152, 32)]","(49152, 64)"
emb_t2_act_2,VECtanh,"[('VECtanh', (49152, 64))]",[],[],"[(49152, 64)]","(49152, 64)"
emb_t2_concat_2,MEM,"[('MEM', [(49152, 64)])]",[],[],"[(49152, 32)]","(49152, 64)"
emb_t2_res_2,VECadd,"[('VECadd', (49152, 64))]",[],[],"[(49152, 64), (49152, 64)]","(49152, 64)"
emb_t2_matmul,BMM,"[('BMM', (96, 4, 512, 64))]",[],[],"[(96, 512, 4), (96, 512, 64)]","(96, 4, 64)"
emb_t2_accum,VECadd,"[('VECadd', (96, 256))]",[],[],"[(96, 256), (96, 256)]","(96, 256)"
emb_t3_linear_0,Linear,"[('Linear', (49152, 1, 16))]",[],[],"[(49152, 1)]","(49152, 16)"
emb_t3_act_0,VECtanh,"[('VECtanh', (49152, 16))]",[],[],"[(49152, 16)]","(49152, 16)"
emb_t3_linear_1,Linear,"[('Linear', (49152, 16, 32))]",[],[],"[(49152, 16)]","(49152, 32)"
emb_t3_act_1,VECtanh,"[('VECtanh', (49152, 32))]",[],[],"[(49152, 32)]","(49152, 32)"
emb_t3_concat_1,MEM,"[('MEM', [(49152, 32)])]",[],[],"[(49152, 16)]","(49152, 32)"
emb_t3_res_1,VECadd,"[('VECadd', (49152, 32))]",[],[],"[(49152, 32), (49152, 32)]","(49152, 32)"
emb_t3_linear_2,Linear,"[('Linear', (49152, 32, 64))]",[],[],"[(49152, 32)]","(49152, 64)"
emb_t3_act_2,VECtanh,"[('VECtanh', (49152, 64))]",[],[],"[(49152, 64)]","(49152, 64)"
emb_t3_concat_2,MEM,"[('MEM', [(49152, 64)])]",[],[],"[(49152, 32)]","(49152, 64)"
emb_t3_res_2,VECadd,"[('VECadd', (49152, 64))]",[],[],"[(49152, 64), (49152, 64)]","(49152, 64)"
emb_t3_matmul,BMM,"[('BMM', (96, 4, 512, 64))]",[],[],"[(96, 512, 4), (96, 512, 64)]","(96, 4, 64)"
emb_t3_accum,VECadd,"[('VECadd', (96, 256))]",[],[],"[(96, 256), (96, 256)]","(96, 256)"
desc_normalize,VECmul,"[('VECmul', (96, 256))]",[],[],"[(96, 256)]","(96, 256)"
desc_final_matmul,BMM,"[('BMM', (96, 64, 4, 16))]",[],[],"[(96, 64, 4), (96, 4, 16)]","(96, 64, 16)"
desc_reshape,MEM,"[('MEM', [(96, 1024)])]",[],[],"[(96, 64, 16)]","(96, 1024)"
fit_linear_0,Linear,"[('Linear', (96, 1024, 240))]",[],[],"[(96, 1024)]","(96, 240)"
fit_act_0,VECrelu,"[('VECrelu', (96, 240))]",[],[],"[(96, 240)]","(96, 240)"
fit_linear_1,Linear,"[('Linear', (96, 240, 240))]",[],[],"[(96, 240)]","(96, 240)"
fit_act_1,VECrelu,"[('VECrelu', (96, 240))]",[],[],"[(96, 240)]","(96, 240)"
fit_res_1,VECadd,"[('VECadd', (96, 240))]",[],[],"[(96, 240), (96, 240)]","(96, 240)"
fit_linear_2,Linear,"[('Linear', (96, 240, 240))]",[],[],"[(96, 240)]","(96, 240)"
fit_act_2,VECrelu,"[('VECrelu', (96, 240))]",[],[],"[(96, 240)]","(96, 240)"
fit_res_2,VECadd,"[('VECadd', (96, 240))]",[],[],"[(96, 240), (96, 240)]","(96, 240)"
output_linear,Linear,"[('Linear', (96, 240, 1))]",[],[],"[(96, 240)]","(96, 1)"
energy_sum,VECadd,"[('VECadd', (96, 1))]",[],[],"[(96, 1)]","(1,)"
