Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_diff,VECmul,"[('VECmul', (565248, 3))]",[],[],"[(565248, 3), (565248, 3)]","(565248, 3)"
nlist_dist,VECadd,"[('VECadd', (565248, 1))]",[],[],"[(565248, 3)]","(565248, 1)"
nlist_mask,MEM,"[('MEM', [(565248, 1)])]",[],[],"[(565248, 1)]","(565248, 1)"
env_matrix_gather,MEM,"[('MEM', [(4096, 138, 4)])]",[],[],"[(565248, 3)]","(4096, 138, 4)"
smooth_func,VECmul,"[('VECmul', (565248, 1))]",[],[],"[(565248, 1), (565248, 1)]","(565248, 1)"
emb_linear_0,Linear,"[('Linear', (565248, 1, 25))]",[],[],"[(565248, 1)]","(565248, 25)"
emb_act_0,VECtanh,"[('VECtanh', (565248, 25))]",[],[],"[(565248, 25)]","(565248, 25)"
emb_linear_1,Linear,"[('Linear', (565248, 25, 50))]",[],[],"[(565248, 25)]","(565248, 50)"
emb_act_1,VECtanh,"[('VECtanh', (565248, 50))]",[],[],"[(565248, 50)]","(565248, 50)"
emb_linear_2,Linear,"[('Linear', (565248, 50, 100))]",[],[],"[(565248, 50)]","(565248, 100)"
emb_act_2,VECtanh,"[('VECtanh', (565248, 100))]",[],[],"[(565248, 100)]","(565248, 100)"
desc_matmul_1,BMM,"[('BMM', (4096, 100, 138, 4))]",[],[],"[(4096, 138, 100)]","(4096, 100, 4)"
desc_matmul_2,BMM,"[('BMM', (4096, 4, 100, 16))]",[],[],"[(4096, 4, 100)]","(4096, 4, 16)"
desc_reshape,MEM,"[('MEM', [(4096, 64)])]",[],[],"[(4096, 4, 16)]","(4096, 64)"
fit_linear_0,Linear,"[('Linear', (4096, 64, 240))]",[],[],"[(4096, 64)]","(4096, 240)"
fit_act_0,VECtanh,"[('VECtanh', (4096, 240))]",[],[],"[(4096, 240)]","(4096, 240)"
fit_linear_1,Linear,"[('Linear', (4096, 240, 240))]",[],[],"[(4096, 240)]","(4096, 240)"
fit_act_1,VECtanh,"[('VECtanh', (4096, 240))]",[],[],"[(4096, 240)]","(4096, 240)"
fit_residual_1,VECadd,"[('VECadd', (4096, 240))]",[],[],"[(4096, 240), (4096, 240)]","(4096, 240)"
fit_linear_2,Linear,"[('Linear', (4096, 240, 240))]",[],[],"[(4096, 240)]","(4096, 240)"
fit_act_2,VECtanh,"[('VECtanh', (4096, 240))]",[],[],"[(4096, 240)]","(4096, 240)"
fit_residual_2,VECadd,"[('VECadd', (4096, 240))]",[],[],"[(4096, 240), (4096, 240)]","(4096, 240)"
output_linear,Linear,"[('Linear', (4096, 240, 1))]",[],[],"[(4096, 240)]","(4096, 1)"
energy_sum,VECadd,"[('VECadd', (4096, 1))]",[],[],"[(4096, 1)]","(1,)"
